Chemical,BLGU-1,BLGU-2,BLGU-3,BLGU-4,BLGU-5,BLGU-6,BLGU-7,BLGU-8,BLGU-10,BLGU-11,BLGU-12,BLGU-13,BLGU-14,BLGU-15,BLGU-16,BLGU-17,BLGU-18,BLGU-19,BLGU-20,BLGU-21,BLGU-22,BLGU-24,BLGU-25,BLGU-26,BLGU-27,BLGU-28,BLGU-29,BLGU-30
As,5850,2290,5420,5690,6775,8340,7050,5330,3250,5910,2700,5710,2230,4960,3870,2270,3880,4380,5800,3240,2550,3120,3360,3410,5060,8950,2170,5270
Cd,13000,4910,14000,5700,6155,29600,9630,20800,23100,11500,6230,12400,6250,7320,1590,3530,4890,6400,13200,7180,6360,4950,14100,12200,7980,7240,15800,13500
Pb,14,11,10,10,16.5,22,10,15,17,16,19,19,9,13,15,6040,11,9,7,33,6,7,141,11,23,13,99,26
Hg,3350,2090,4030,1910,4380,4550,2770,3460,3600,3030,2800,2270,2290,2570,2470,2270,3520,6520,3400,2690,2570,2310,2290,5100,3450,3780,4330,3730
Se,16400,9660,7750,5430,10550,13000,10400,11600,18700,12600,8250,9960,7150,10300,6920,6240,11100,11100,7380,8630,6530,6410,5650,9425,11700,16000,13200,11000
"1,2-benzonaphtothiophene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,7-Dimethylphenanthrene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,8-Dimethylphenanthrene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Methylnaphthalene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Methylphenanthrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,3-benzonaphtothiophene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Dimethylphenanthrene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Methylnaphthalene,0,0,0,5.6084102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-Methylphenanthrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,6-Dimethylphenanthrene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Methylphenanthrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/4-Methylphenanthrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acenapthene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acenapthylene,30.69941026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthracene,35.43074486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.885190786,0,0
Benz[a]anthracene,72.3806589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzo[a]pyrene,47.19223273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzo[b]fluoranthene,150.4116603,5.679122078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzo[g,h,i]perylene",56.25626865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzo[k]fluoranthene,46.80073434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1 Benzo[a]pyrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1 Chrysene,0,0,0,5.875524372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1 Dibenzothiophene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1 Fluorene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1 Pyrene,0,0,0,6.831997949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2 Dibenzothiophene,0,0,0,4.94928696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2 Fluorene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2 Naphthalene,0,0,0,9.016114695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.225647275,0,0,0,0,0
C2 Phenanthrene,0,0,0,6.451467456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2 Pyrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3 Chrysene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3 Dibenzothiophene,0,0,0,0,0,0,358.52335,685.5405703,0,0,0,0,0,0,0,0,0,0,0,0,0,397.9083641,0,0,0,0,0,0
C3 Naphthalene,0,0,0,5.603515871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.620962084,0,0,0,0,0
C3 Phenanthrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4 Naphthalene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4 Phenanthrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysene,309.7881002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
